Cluster ID,confidence_score,ID,Has Duplicate,dup_of,Title,Title (Original Script),Author,Author (Original Script),Format,Language,Published/Created,Date,Description,Series,Library,Location,Call Number,Notes,Edition
86,1.0,'99114349313506421',FALSE,,The Catholic world,,,,Journal,English,"New York, N.Y.: Lawrence Kehoe",1865,"1 online resource (volumes) : illustrations, plates ;; Vol. 1, no. 1 (Apr. 1865)-v. 214, no. 1281 (Dec. 1971).",American Historical Periodicals from the American Antiquarian Society.,,,,"Reproduction of the original from the American Antiquarian Society.; The Catholic World: A Monthly Magazine of General Literature and Science was begun in April of 1865 as a general magazine for Catholics by Father Isaac T. Hecker, founder of the Community of Paulist Fathers and of the Catholic Publication Society. At first, it contained mostly selected articles from English and Italian periodicals with brief departments of science, art and books and few original articles. The contribution of original articles increased so greatly that the magazine soon became completely original and the word Eclectic was dropped from its title.; (cont.) The editorial and literary aspects of the magazine were of high quality. Journalist J. R. G. Hassard was a member of the editorial staff, and Father A. F. Hewit was the most frequent contributor of the many Church dignitaries whose work regularly appeared in its pages. One of the magazine's continuous strengths was its high literary quality. Among the distinguished writers who regularly contributed were Agnes Repplier, Louise Imogen Guiney, Alice Meynell, Katharine Tynan, John Gilmary Shea, Aubrey DeVere, Rose H. Lathrop, Joyce Kilmer, Hilaire Belloc, G. K. Chesterton, Padraic Colum, and Theodore Maynard. Though it has been a popular rather than a theological magazine, Catholic World has dealt with educational, social, literary and artistic matters from a Catholic point of view and has supported Church doctrines. Cf. American periodicals, 1741-1900.; Title from caption.; Editors: 1865-1888, I.T. Hecker; 1889-1897, A.F. Hewit.",
25,0.68561846,'9925544263506421',TRUE,'SCSB-8194191',The circus : and other essays,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Laurence J. Gomme,1916,79 p. 18 cm.,,Special Collections,Rare Books,3812.42.325,Reprinted from various periodicals.,
25,0.68561846,'SCSB-8194191',TRUE,'9925544263506421',"The circus, and other essays",,"Kilmer, Joyce, 1886-1918",,Book,English,New York: L. J. Gomme,1916,79 p. 18 cm.,,ReCAP,Remote Storage,"NBQ (Kilmer, J. Circus)",Reprinted from various periodicals.,
124,1.0,'99125144091806421',FALSE,,"The Circus, and Other Essays and Fugitive Pieces",,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2012,,,,,,,
37,0.8103986,'999970313506421',FALSE,,"The circus, and other essays and fugitive pieces",,"Kilmer, Joyce, 1886-1918",,Book,English,"Port Washington, N.Y.: Kennikat Press",1968,311 pages 18 cm.,Essay and general literature index reprint series,ReCAP,Remote Storage,PS3521.I38 C5 1968,,
45,1.0,'SCSB-3408584',FALSE,,The courage of enlightenment,,"Kilmer, Joyce, 1886-1918",,Book,English,"Prairie du Chien, Wis.?",1917,14 pages ; 19 cm,,ReCAP,Remote Storage,812K558 P,Address delivered to the graduating class of Champion College.,
96,1.0,'99754543506421',FALSE,,The geography of the imagination : forty essays,,"Davenport, Guy",,Book,English,San Francisco: North Point Press,1981,"x, 384 p. ; 24 cm.",,Special Collections; Firestone Library,Leonard Milberg Coll. of American Poetry; Stacks,PS3554.A86 G4 1981,Princeton copy 1 ExRML copy is gift of Leonard L. Milberg '53 in honor of Richard M. Ludwig.,
44,1.0,'9945458963506421',FALSE,,The Gold Star Mother pilgrimages of the 1930s : overseas grave visitations by mothers and widows of fallen U.S. World War I soldiers,,"Graham, John W., 1961-",,Book,English,"Jefferson, N.C.: McFarland & Co.",2005,"ix, 229 pages : illustrations ; 23 cm",,Firestone Library,Stacks,D639.W7 G55 2005,,
62,1.0,'9913828793506421',FALSE,,The little book of modern verse : a selection from the work of contemporaneous American poets,,,,Book,English,And New York: Houghton Mifflin Co.,1913,"xvi, 211 pages 17 cm.",Riverside college classics,ReCAP,Remote Storage,PS614 .R5 1913,,
73,1.0,'9913221093506421',FALSE,,The mayor of Casterbridge,,"Hardy, Thomas, 1840-1928",,Book,English,New York: Modern Library,1917,"xiv, 318 pages frontispiece (map) 17 cm.",Modern library of the world's best books; The modern library of the world's best books,Firestone Library,Stacks,PR4750 .M39 1917,,
